participant,order,phase,trial,trial_type,us,origin,stimulus
100,versionA,TypSource,t_001,CSp,noUS,ACQ,stims/tools/hockeystick_simA.jpg
100,versionA,TypSource,t_002,CSm,noUS,ACQ,stims/animals/frog_simA.jpg
100,versionA,TypSource,t_003,CSp,noUS,BL,stims/tools/reflexhammer.jpg
100,versionA,TypSource,t_004,CSp,YES_US,ACQ,stims/tools/thimble_simA.jpg
100,versionA,TypSource,t_005,CSp,noUS,EXT,stims/tools/edger.jpg
100,versionA,TypSource,t_006,CSp,noUS,EXT,stims/tools/baseball_simA.jpg
100,versionA,TypSource,t_007,CSp,noUS,BL,stims/tools/ropeandpulley.jpg
100,versionA,TypSource,t_008,CSm,noUS,BL,stims/animals/boar.jpg
100,versionA,TypSource,t_009,CSm,noUS,EXT,stims/animals/finch.jpg
100,versionA,TypSource,t_010,CSm,noUS,ACQ,stims/animals/shrimp_simA.jpg
100,versionA,TypSource,t_011,CSm,noUS,EXT,stims/animals/turtle_simA.jpg
100,versionA,TypSource,t_012,CSm,noUS,BL,stims/animals/penguin_simA.jpg
100,versionA,TypSource,t_013,CSm,noUS,BL,stims/animals/dragonfly.jpg
100,versionA,TypSource,t_014,CSp,YES_US,ACQ,stims/tools/measuringcups.jpg
100,versionA,TypSource,t_015,CSp,noUS,EXT,stims/tools/axe_simA.jpg
100,versionA,TypSource,t_016,CSm,noUS,ACQ,stims/animals/mahimahi.jpg
100,versionA,TypSource,t_017,CSm,noUS,EXT,stims/animals/goldfish_simA.jpg
100,versionA,TypSource,t_018,CSm,noUS,EXT,stims/animals/capybara.jpg
100,versionA,TypSource,t_019,CSm,noUS,BL,stims/animals/tapir_simA.jpg
100,versionA,TypSource,t_020,CSm,noUS,BL,stims/animals/cow_simA.jpg
100,versionA,TypSource,t_021,CSm,noUS,ACQ,stims/animals/hawk_simA.jpg
100,versionA,TypSource,t_022,CSp,noUS,ACQ,stims/tools/sander.jpg
100,versionA,TypSource,t_023,CSp,YES_US,ACQ,stims/tools/weedeater.jpg
100,versionA,TypSource,t_024,CSm,noUS,BL,stims/animals/flea.jpg
100,versionA,TypSource,t_025,CSp,noUS,ACQ,stims/tools/lantern_simA.jpg
100,versionA,TypSource,t_026,CSp,noUS,BL,stims/tools/faxmachine.jpg
100,versionA,TypSource,t_027,CSp,noUS,EXT,stims/tools/paintbrush.jpg
100,versionA,TypSource,t_028,CSp,YES_US,ACQ,stims/tools/paperlantern_simA.jpg
100,versionA,TypSource,t_029,CSp,noUS,EXT,stims/tools/paperclip_simA.jpg
100,versionA,TypSource,t_030,CSm,noUS,ACQ,stims/animals/bat_simA.jpg
100,versionA,TypSource,t_031,CSp,noUS,BL,stims/tools/rollingpin.jpg
100,versionA,TypSource,t_032,CSm,noUS,EXT,stims/animals/aardvark.jpg
100,versionA,TypSource,t_033,CSp,noUS,BL,stims/tools/envelope_simA.jpg
100,versionA,TypSource,t_034,CSp,noUS,EXT,stims/tools/toolbox_simA.jpg
100,versionA,TypSource,t_035,CSm,noUS,BL,stims/animals/slug_simA.jpg
